Temperature ( K ),density ( kg/m 3 ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,,
272.5202,529.2,0.17,Liquid-Gas,Experimental,NIST,Authors: Kratzke, H.;Muller, S. Title: Thermodynamic quantities for propane. 3. The thermodynamic behavior of saturated and compressed liquid propane Citation: J. Chem. Thermodyn.,1984,16, 1157-74,,,,,,,,,,
274.1913,526.77389662,0.48916906036,Liquid-Gas,Experimental,NIST,Authors: Defibaugh, D. R.;Moldover, M. R. Title: Compressed and saturated liquid densities for 18 halogenated organic compounds Citation: J. Chem. Eng. Data,1997,42, 160-168 (Derived),,,,,,,,,,
277.59173336,523.4,0,Liquid-Gas,Experimental,NIST,Authors: Legatski, T.W.;Nelson, W.R.;Dean, M.R.;Fruit, L.R. Title: Densities of Liquefied Petroleum Gases, Citation: Ind. Eng. Chem.,1942,34, 1240-1243,,,,,,,
277.593751182,522.5,1.1,Liquid-Gas,Experimental,NIST,Authors: Kahre, L. C. Title: Liquid Density of Light Hydrocarbon Mixtures Citation: J. Chem. Eng. Data,1973,18, 267-270,,,,,,,,,,,
277.593751182,522.660089874,3.68390650747,Liquid-Gas,Experimental,NIST,Authors: Manley, D. B.;Swift, G. W. Title: Relative Volatility of Propane-Propene System by Integration of General Coexistence Citation: J. Chem. Eng. Data,1971,16, 301-7 (Derived),,,,,,,,,,
278.149270073,521.574734997,0.238315026105,Liquid-Gas,Experimental,NIST,Authors: Thomas, R. H. P.;Harrison, R. H. Title: Pressure-Volume-Temperature Relations of Propane Citation: J. Chem. Eng. Data,1982,27, 1-11 (Derived),,,,,,,,,,
280,519.646366686,0.414590495823,Liquid-Gas,Experimental,NIST,Authors: Miyamoto, H.;Shigetoyo, K.;Uematsu, M. Title: The (p, p, T,x) properties for {x propane + (1 - x) isobutane} with x =(1.0000,0.2765,0.5052, and 0.7468) in the temperature range from (280 to 440) K at pressures from (1 to 200) MPa Citation: J. Chem. Thermodyn.,2007,39, 1423-1431 (Derived),,,
280,519.39,0.94,Liquid-Gas,Experimental,NIST,Authors: Miyamoto, H.;Uematsu, M. Title: Saturated liquid densities of propane at T = (280 to 365) K Citation: J. Chem. Thermodyn.,2007,39, 225-229,,,,,,,,,,
280.1458,519.7,0.264,Liquid-Gas,Experimental,NIST,Authors: Seemann, F.-W.;Urban, M. Title: The density of liquid propane Citation: Erdoel, Kohle, Erdgas, Petrochem.,1963,16, 117-9,,,,,,,
284.133406,513.8,0.272,Liquid-Gas,Experimental,NIST,Authors: Seemann, F.-W.;Urban, M. Title: The density of liquid propane Citation: Erdoel, Kohle, Erdgas, Petrochem.,1963,16, 117-9,,,,,,,
