T,eta,phase,,,,,,,,,,,,,,,,,
298.15,0.00459,liquid,Authors: Mahajan, A. R.;Mirgane, S. R. Title: Thermodynamic Properties of Binary Liquid Mixtures of n-Dodecane with an Alkan-1-ol or an Alkan-2-ol  at 298.15 K: A Comparative Study Citation: J. Solution Chem.,2013,42, 1146-1168,,,,,,,,,,,
298.15,0.004593,liquid,Authors: Mohammad, A. A.;Alkhaldi, K. H. A. E.;AlTuwaim, M. S.;Al-Jimaz, A. S. Title: Viscosity and surface tension of binary systems of N,N-dimethylformamide with alkan-1-ols at different temperatures Citation: J. Chem. Thermodyn.,2013,56, 106-113,,,,,,,,
298.15,0.004592,liquid,Authors: Nikam, P. S.;Shirsat, L. N.;Hasan, M. Title: Densities and viscosities of binary mixtures of acetonitrile with, alkanols (C5,C6,C7,C8,C10) at 298.15, 303.15 and 308.15 K Citation: J. Indian Chem. Soc.,2000,77, 244-248,,,,
298.15,0.00483,liquid,Authors: Ramakanth, C.;Mukherjee, A. K.;Das, T. R. Title: Diffusion coeffcients for selected binary liquid systems: Cyclohexanes and n-alkyl alcohols Citation: J. Chem. Eng. Data,1991,36, 384-387,,,,,,,,,,
298.15,0.00459113,liquid,Authors: Roy, M. N.;Banerjee, A.;Choudhury, A. Title: Rheological, thermodynamic and ultrasonic study of binary mixtures containing 2-methoxyethanol and some alkan-1-ol Citation: Phys. Chem. Liq.,2009,47, 412-436,,,,,,,,,
298.15,0.004477,liquid,Authors: Sastry, N. V.;Valand, M. K. Title: Densities, Viscosities, and Relative Permittivities for Pentane + 1-Alcohols (C1 to C12) at 298.15 K Citation: J. Chem. Eng. Data,1998,43, 152-157,,,,,,,,,
298.15,0.004477,liquid,Authors: Sastry, N. V.;Valand, M. K. Title: Viscosities and Densities for Heptane + 1-Pentanol, +1-Hexanol, +1- Heptanol, +1-Octanol, +1-Decanol, and +1-Dodecanol at 298.15 K and 308.15 K Citation: J. Chem. Eng. Data,1996,41, 1426-1428,,,,,,
298.15,0.00459,liquid,Authors: Shaik, J.;Sankar, M. G.;Ramachandran, D.;Rambabu, C. Title: Effect of Chain Length of Alcohol on Thermodynamic and Transport Properties of Their Binary Mixtures with N-Ethylaniline at Different Temperatures Citation: J. Solution Chem.,2014,43, 2067-2100,,,,,,,,,
298.15,0.004573,liquid,Authors: Shan, Z.;Asfour, A.-F. Title: Viscosities and Densities of Nine Binary 1-Alkanol Systems at 293.15 K and 298.15 K Citation: J. Chem. Eng. Data,1999,44, 118-123,,,,,,,,,,,
298.15,0.00459,liquid,Authors: Singh, R. P.;Sinha, C. P.;Das, J. C.;Ghosh, P. Title: Viscosity and density of ternary mixtures of toluene, bromobenzene, 1-hexanol and 1-octanol Citation: J. Chem. Eng. Data,1990,35,93,,,,,,,
298.15,0.004596,liquid,Authors: Trenzado, J. L.;Matos, J. S.;Gonzalez, E.;Romano, E.;Caro, M. N. Title: A Study on Properties Derived from Densities and Viscosities for the Ternary Systems (Methyl Pentanoate or Methyl Heptanoate) + n-Octane + 1-Hexanol and their Binary Subsystems at Various Temperatures. Citation: J. Chem. Eng. Data,2003,48, 1004-1014,,,,,,,,
298.15,0.004605,liquid,Authors: Wang, X.;Wang, X.;Song, B. Title: Densities and Viscosities of Binary Mixtures of 2,2,4-Trimethylpentane + 1-Propanol, + 1-Pentanol, + 1-Hexanol, and + 1-Heptanol from (298.15 to 323.15) K Citation: J. Chem. Eng. Data,2015,60, 1664-1673,,,,,
303,0.00375936,liquid,Authors: Chowdhury, M. A.;Majid, M. A.;Saleh, M. A. Title: Volumetric and viscometric behaviour of binary systems: (1-hexanol + hydrocarbons) Citation: J. Chem. Thermodyn.,2001,33, 347-360,,,,,,,,,,
303,0.00382,liquid,Authors: Rodriguez, M.;Galan, M.;Munoz, M. J.;Martin, R. Title: Viscosity of triglycerides + alcohols from 278 to 313 K Citation: J. Chem. Eng. Data,1994,39, 102-105,,,,,,,,,
303.134,0.003872,liquid,Authors: Bilterys, R.;Gisseleire, J. Title: Investigations on the Congelation Temperature of Organic Compounds Citation: Bull. Soc. Chim. Belg.,1935,44,567,,,,,,,,,,,
303.143055,0.0039,liquid,Authors: Matsuo, S.;Makita, T. Title: Viscosities of six 1-alkanols at temperatures in the range 298-348 and pressures up to 200 MPa Citation: Int. J. Thermophys.,1989,10,833,,,,,,,,,,,
