Temperature ( K ),vapor pressure ( kPa ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,
293.028066,24.74063,1.597202,Liquid-Gas,Experimental - Rejected,NIST,Authors: Archibald, E. H.;Ure, W. Title: The vapor pressure of acetone at low temperatures Citation: Trans. R. Soc. Can.,1927,21,133,,,,,
293.08803,23.94883,0.20265,Liquid-Gas,Experimental - Rejected,NIST,Authors: Weissenberger, G.;Schuster, F.;Pamer, H. Title: Zur Kenntnis organischer Molekulverbindungen XII. Die Chloressigsauren und das Pentachorathen Citation: Monatsh. Chem.,1925,46, 281-289,,,,
293.138,24.6646,0.16,Liquid-Gas,Experimental,NIST,Authors: Quitzsch, K.;Hofmann, H.-P.;Pfestorf, R.;Geiseler, G. Title: Thermodynamics of binary liquid mixtures with homologous formamides: V acetone + formamide and methanol + formamide systems Citation: Z. Phys. Chem. (Leipzig),1967,235, 99-109,,,
293.138,24.1313,4.8529,Liquid-Gas,Experimental,NIST,Authors: Schmidt, G. C. Title: Binary mixtures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1926,121, 221-53,,,,,
293.138,24.6513,1.232565,Liquid-Gas,Experimental,NIST,Authors: Schulze, A. Title: Equilibrium in condensed systems Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1921,97, 388-416,,,,,
293.138,24.6646,2.46646,Liquid-Gas,Experimental - Rejected,NIST,Authors: Doolittle, A. K. Citation: The Technology of Solvents and Plasticizers,1954, Wiley-Interscience: New York,,,,,,,
293.138,24.2273,0.4979,Liquid-Gas,Experimental - Rejected,NIST,Authors: Radulescu, D.;Alexa, M. Title: Vapor Pressure Measurements fr New Dynamic and Static Methods. The Applicability of the Reaction Isochore to the Measurement of the Latent Heat of Vaporization Citation: Bull. Soc. Chim. Romania,1938, 20A, 89-113,,,,,
293.138,24.2,0.17,Liquid-Gas,Experimental - Rejected,NIST,Authors: Rall, W.;Schaefer, K. Title: Thermodynamic Investigations of Liquid Mixed Systems of Acetone and Pentane and of Acetone and Hexane Citation: Z. Elektrochem.,1959,63, 1019-24,,,,,
293.138,24.0647,0.1337,Liquid-Gas,Experimental - Rejected,NIST,Authors: Schmidt, G. C. Title: The vapor pressure of binary mixtures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1921,99,71,,,,,
293.138,23.9447,0.2666,Liquid-Gas,Experimental - Rejected,NIST,Authors: Weissenberger, G.;Henke, R.;Katschinka, H. Title: Binary liquid mixtures: xx systems with substituting hydronaphthalenes Citation: Z. Anorg. Allg. Chem.,1926,153,33,,,,
