Temperature ( K ),vapor pressure ( kPa ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,
364.236148,0.352,0.01,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Ellender, J. H.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds. XXXV. Vapor Pressures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1974,6,909,,,
371.12477,0.528,0.01,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Ellender, J. H.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds. XXXV. Vapor Pressures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1974,6,909,,,
371.27474,0.534,0.01,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Ellender, J. H.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds. XXXV. Vapor Pressures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1974,6,909,,,
373.08,0.596,0.007,Liquid-Gas,Experimental,NIST,Authors: N'Guimbi, J.,Kasehgari, H.,Mokbel, I.,Jose, J. Title: Vapor pressure of primary alcohols at 0.3Pa to 1.5kPa Citation: Thermochim. Acta,1992,196, 367-77,
375.833828,0.701,0.01,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Ellender, J. H.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds. XXXV. Vapor Pressures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1974,6,909,,,
378.12337,0.7466,0.0533,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kemme, H. R.,Kreps, S. I. Title: Vapor Pressure of Primary n-Alkyl Chlorides and Alcohols Citation: J. Chem. Eng. Data,1969,14, 98-102,,,,,
379.213152,0.854,0.01,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Ellender, J. H.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds. XXXV. Vapor Pressures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1974,6,909,,,
380.352924,0.917,0.01,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Ellender, J. H.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds. XXXV. Vapor Pressures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1974,6,909,,,
380.6255,0.9333,0.139995,Liquid-Gas,Experimental,NIST,Authors: Talvitie, Y. Citation: Ann. Acad. Sci. Fenn.,1927,26, 1-94,,,,,,,
382.92596,1.07,0.540885,Liquid-Gas,Experimental,NIST,Authors: Verkade, P. E.,Coops, J. Title: Calorimetric researches Citation: Recl. Trav. Chim. Pays-Bas,1927,46,903,,,,,
383.012392,1.061,0.01,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Ellender, J. H.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds. XXXV. Vapor Pressures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1974,6,909,,,
383.09,1.066,0.012,Liquid-Gas,Experimental,NIST,Authors: N'Guimbi, J.,Kasehgari, H.,Mokbel, I.,Jose, J. Title: Vapor pressure of primary alcohols at 0.3Pa to 1.5kPa Citation: Thermochim. Acta,1992,196, 367-77,
