Temperature ( K ),vapor pressure ( kPa ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,,,,,
205.1952,27.4244,0,Liquid-Gas,Experimental,NIST,Authors: Harteck, P.;Edse, R. Title: Vapor-pressure Measurement of Propane Citation: Z. Phys. Chem. Abt. A,1938,182,220,,,,,,,,,,,,,
206.0104,27.9577,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Yarbrough, D. W.;Tsai, C. H. Title: Vapor pressures and heats of vaporization for propane and propene from 50 K to the normal boiling point. Citation: Adv. Cryog. Eng.,1978,23,602,,,,,,,,,,,,,
209.9216726,26.833,0.183,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kemp, J. D.;Egan, C. J. Title: Hindered Rotation of the Methyl Groups in Propane. The Heat Capacity, Vapor Pressure, Heats of Fusion and Vaporization of Propane. Entropy and Density of the Gas Citation: J. Am. Chem. Soc.,1938,60, 1521-5,,,,,,,,,,,
210.01,36.3,1,Liquid-Gas,Experimental,NIST,Authors: Blanc, C. J.;Setier, J.-C. B. Title: Vapor-Liquid Equilibria in the Ethane-Propane System at Low Temperature Citation: J. Chem. Eng. Data,1988,33, 111-115,,,,,,,,,,,,,
210.01,35.064,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Yarbrough, D. W.;Tsai, C. H. Title: Vapor pressures and heats of vaporization for propane and propene from 50 K to the normal boiling point. Citation: Adv. Cryog. Eng.,1978,23,602,,,,,,,,,,,,,
210.245705,39.997,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Burrell, G. A.;Robertson, I. W. Title: Vapor Pressures of Various Compounds at Low Temperatures Citation: U. S. Bur. Mines, Tech. Pap.,1916,142, 30pp,,,,,,,,,,,,
210.29571,39.9966,0.4,Liquid-Gas,Experimental - Rejected,NIST,Authors: Burrell, G. A.;Robertson, I. W. Title: The Vapor Pressures of Propane, Propylene and Normal Butane at Low Temperatures Citation: J. Am. Chem. Soc.,1915,37,2188,,,,,,,,,,,,
210.63,37.037,0.338,Liquid-Gas,Experimental,NIST,Authors: Calado, J. C. G.;Filipe, E. J. M.;Lopes, J. N. C. Title: Thermodynamics of liquid propane + cyclopropane Citation: Fluid Phase Equilib.,1997,1353, 249-257,,,,,,,,,,,,
212.1959,40.3833,0,Liquid-Gas,Experimental,NIST,Authors: Harteck, P.;Edse, R. Title: Vapor-pressure Measurement of Propane Citation: Z. Phys. Chem. Abt. A,1938,182,220,,,,,,,,,,,,,
213.159685,42.169,0.981,Liquid-Gas,Experimental,NIST,Authors: Skripka, V. G.;Nikitina, I. E.;Zhdanovich, L. A.;Sirotin, A. G.;Ben'yaminovich, O. A. Title: Liquid-vapor phase equilibrium at low temperatures in binary systems formed by components of natural gas Citation: Gaz. Prom-st.,1970, 15(12), 35-6,,,,,,,,,,
214.0096,43.596,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Yarbrough, D. W.;Tsai, C. H. Title: Vapor pressures and heats of vaporization for propane and propene from 50 K to the normal boiling point. Citation: Adv. Cryog. Eng.,1978,23,602,,,,,,,,,,,,,
217.112864,5.08225,0.266645,Liquid-Gas,Experimental - Rejected,NIST,Authors: Dana, L. I.;Jenkins, A. C.;Burdick, H. E.;Timm, R. C. Title: Thermodynamic Properties of Butane, Isobutane, and Propane Citation: Refrig. Eng.,1926,12,387,,,,,,,,,
